kingdom,phylum,majorGroup,class,order,family_PHY,family_WFO,genus_PHY,genus_WFO,specificEpithet,sciname_IN_WFO,sciname_IN_Phylogeny,tipLabel,IN_Phylogeny,Imputed,sciname_IN_DIAZ,sciname_IN_BIEN,Woodiness,growth_form,leaf_type,leaf_area,Nmass,LMA,plant_height,diaspore_mass,SSD_observed,LDMC,SSD_imputed,SSD_combined
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Nepeta,Nepeta,cataria,Nepeta cataria,Nepeta cataria,Nepeta_cataria,1,NO,Nepeta cataria,Nepeta cataria,non-woody,herbaceous non-graminoid,broadleaved,390.5,23.904994665656318,32.36245955,0.622293007,0.5532,0.19350325113955552,0.18,0.19019,0.19019
Plantae,Tracheophyta,A,Magnoliopsida,Oxalidales,Oxalidaceae,Oxalidaceae,Oxalis,Oxalis,stricta,Oxalis stricta,Oxalis stricta,Oxalis_stricta,1,NO,Oxalis stricta,Oxalis stricta,non-woody,herbaceous non-graminoid,broadleaved,456.29,34.26794439,19.76834666,0.290048295,0.2053,0.188399163462889,0.15524860100000001,0.177220267,0.177220267
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Penstemon,Penstemon,gracilis,Penstemon gracilis,Penstemon gracilis,Penstemon_gracilis,1,NO,Penstemon gracilis,NA,non-woody,herbaceous non-graminoid,broadleaved,1764.698755465631,18.87041241316311,74.48416542858955,0.8648058516441974,0.06,0.2828240965033599,0.30105193884588727,0.25164949464908787,0.2569342743856471
Plantae,Tracheophyta,A,Magnoliopsida,Saxifragales,Penthoraceae,Penthoraceae,Penthorum,Penthorum,sedoides,Penthorum sedoides,Penthorum sedoides,Penthorum_sedoides,1,NO,Penthorum sedoides,NA,non-woody,herbaceous non-graminoid,broadleaved,2100.8581418467015,40.82,34.95798319,0.79,0.0126,0.2722715385597599,0.2730088897930553,0.24186898878108617,0.24570525811258176
Plantae,Tracheophyta,A,Liliopsida,Poales,Poaceae,Poaceae,Phleum,Phleum,pratense,Phleum pratense,Phleum pratense,Phleum_pratense,1,NO,Phleum pratense,Phleum pratense,non-woody,herbaceous graminoid,broadleaved,582.05,19.04335469,44.57100577,0.608786874,0.3971,0.27969775,0.3045255491355783,0.2706674661822282,0.27969775
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Phrymaceae,Phrymaceae,Phryma,Phryma,leptostachya,Phryma leptostachya,Phryma leptostachya,Phryma_leptostachya,1,NO,Phryma leptostachya,NA,non-woody,herbaceous non-graminoid,broadleaved,943.9344647783206,19.34476673,19.92031873,0.6,0.8714211359799408,0.2107463412729599,0.21057106313069585,0.20532858071350277,0.20544312269508352
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,pubescens,Physalis pubescens,Physalis pubescens,Physalis_pubescens,1,NO,Physalis pubescens,Physalis pubescens,non-woody,herbaceous non-graminoid,broadleaved,1616.093518326245,26.845678556810462,40.21308561863765,0.7590760494733179,0.922,0.22366229723175954,0.222666785934695,0.21038725279473405,0.2174271555727976
Plantae,Tracheophyta,A,Magnoliopsida,Solanales,Solanaceae,Solanaceae,Physalis,Physalis,virginiana,Physalis virginiana,Physalis virginiana,Physalis_virginiana,1,NO,Physalis virginiana,Physalis virginiana,non-woody,herbaceous non-graminoid,broadleaved,378.87,16.6466712,43.26441392,0.21,1.53,0.26975751842135975,0.27623363602988693,0.2379393211584297,0.2508795309357897
Plantae,Tracheophyta,A,Magnoliopsida,Lamiales,Plantaginaceae,Plantaginaceae,Plantago,Plantago,lanceolata,Plantago lanceolata,Plantago lanceolata,Plantago_lanceolata,1,NO,Plantago lanceolata,Plantago lanceolata,non-woody,herbaceous non-graminoid,broadleaved,974.36,22.45412435,53.74760144,0.178939791,1.3628,0.217738001,0.23639874238312486,0.21667253734682018,0.230116
Plantae,Tracheophyta,A,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Persicaria,Persicaria,amphibia,Persicaria amphibia,Persicaria amphibia,Persicaria_amphibia,1,NO,Persicaria amphibia,Polygonum amphibium,non-woody,herbaceous non-graminoid,broadleaved,2105.85,39.18136493,53.07333384,0.360642605,2.617,0.22123679400735974,0.223376696,0.212919389,0.212919389
