sciname_IN_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family,genus,specificEpithet,Old.status,sciname_IN_WFO
Maianthemum stellatum,TRUE,FALSE,Maianthemum stellatum,species,A,Asparagaceae,Maianthemum,stellatum,,Maianthemum stellatum
Maianthemum canadense,TRUE,FALSE,Maianthemum canadense,species,A,Asparagaceae,Maianthemum,canadense,,Maianthemum canadense
Platanthera lacera,TRUE,FALSE,Platanthera lacera,species,A,Orchidaceae,Platanthera,lacera,,Platanthera lacera
Uvularia sessilifolia,TRUE,FALSE,Uvularia sessilifolia,species,A,Colchicaceae,Uvularia,sessilifolia,,Uvularia sessilifolia
Streptopus lanceolatus,TRUE,FALSE,Streptopus lanceolatus,species,A,Liliaceae,Streptopus,lanceolatus,,Streptopus lanceolatus
Smilax herbacea,TRUE,FALSE,Smilax herbacea,species,A,Smilacaceae,Smilax,herbacea,,Smilax herbacea
Parthenocissus inserta,TRUE,FALSE,Parthenocissus quinquefolia,species,A,Vitaceae,Parthenocissus,quinquefolia,Synonym,Parthenocissus quinquefolia
Vitis vulpina,TRUE,FALSE,Vitis vulpina,species,A,Vitaceae,Vitis,vulpina,,Vitis vulpina
Vitis riparia,TRUE,FALSE,Vitis riparia,species,A,Vitaceae,Vitis,riparia,,Vitis riparia
Parthenocissus quinquefolia,TRUE,FALSE,Parthenocissus quinquefolia,species,A,Vitaceae,Parthenocissus,quinquefolia,,Parthenocissus quinquefolia
Micranthes pensylvanica,TRUE,FALSE,Micranthes pensylvanica,species,A,Saxifragaceae,Micranthes,pensylvanica,,Micranthes pensylvanica
Heuchera richardsonii,TRUE,FALSE,Heuchera richardsonii,species,A,Saxifragaceae,Heuchera,richardsonii,,Heuchera richardsonii
Ribes hirtellum,TRUE,FALSE,Ribes hirtellum,species,A,Grossulariaceae,Ribes,hirtellum,,Ribes hirtellum
Penthorum sedoides,TRUE,FALSE,Penthorum sedoides,species,A,Penthoraceae,Penthorum,sedoides,,Penthorum sedoides
Rosa carolina,TRUE,FALSE,Rosa carolina,species,A,Rosaceae,Rosa,carolina,,Rosa carolina
Rosa arkansana,TRUE,FALSE,Rosa arkansana,species,A,Rosaceae,Rosa,arkansana,,Rosa arkansana
Rosa blanda,TRUE,FALSE,Rosa blanda,species,A,Rosaceae,Rosa,blanda,,Rosa blanda
Potentilla simplex,TRUE,FALSE,Potentilla simplex,species,A,Rosaceae,Potentilla,simplex,,Potentilla simplex
Potentilla norvegica,TRUE,FALSE,Potentilla norvegica,species,A,Rosaceae,Potentilla,norvegica,,Potentilla norvegica
Potentilla recta,TRUE,FALSE,Potentilla recta,species,A,Rosaceae,Potentilla,recta,,Potentilla recta
Potentilla argentea,TRUE,FALSE,Potentilla argentea,species,A,Rosaceae,Potentilla,argentea,,Potentilla argentea
Comarum palustre,TRUE,FALSE,Comarum palustre,species,A,Rosaceae,Comarum,palustre,,Comarum palustre
Drymocallis arguta,TRUE,FALSE,Drymocallis arguta,species,A,Rosaceae,Drymocallis,arguta,,Drymocallis arguta
Fragaria vesca,TRUE,FALSE,Fragaria vesca,species,A,Rosaceae,Fragaria,vesca,,Fragaria vesca
Fragaria virginiana,TRUE,FALSE,Fragaria virginiana,species,A,Rosaceae,Fragaria,virginiana,,Fragaria virginiana
Rubus idaeus,TRUE,FALSE,Rubus idaeus,species,A,Rosaceae,Rubus,idaeus,,Rubus idaeus
Rubus pubescens,TRUE,FALSE,Rubus pubescens,species,A,Rosaceae,Rubus,pubescens,,Rubus pubescens
Rubus occidentalis,TRUE,FALSE,Rubus occidentalis,species,A,Rosaceae,Rubus,occidentalis,,Rubus occidentalis
Rubus flagellaris,TRUE,FALSE,Rubus flagellaris,species,A,Rosaceae,Rubus,flagellaris,,Rubus flagellaris
Rubus canadensis,TRUE,FALSE,Rubus canadensis,species,A,Rosaceae,Rubus,canadensis,,Rubus canadensis
Rubus allegheniensis,TRUE,FALSE,Rubus allegheniensis,species,A,Rosaceae,Rubus,allegheniensis,,Rubus allegheniensis
Prunus americana,TRUE,FALSE,Prunus americana,species,A,Rosaceae,Prunus,americana,,Prunus americana
Prunus pensylvanica,TRUE,FALSE,Prunus pensylvanica,species,A,Rosaceae,Prunus,pensylvanica,,Prunus pensylvanica
Prunus pumila,TRUE,FALSE,Prunus pumila,species,A,Rosaceae,Prunus,pumila,,Prunus pumila
Prunus virginiana,TRUE,FALSE,Prunus virginiana,species,A,Rosaceae,Prunus,virginiana,,Prunus virginiana
Prunus serotina,TRUE,FALSE,Prunus serotina,species,A,Rosaceae,Prunus,serotina,,Prunus serotina
Amelanchier laevis,TRUE,FALSE,Amelanchier laevis,species,A,Rosaceae,Amelanchier,laevis,,Amelanchier laevis
Amelanchier alnifolia,TRUE,FALSE,Amelanchier alnifolia,species,A,Rosaceae,Amelanchier,alnifolia,,Amelanchier alnifolia
Amelanchier sanguinea,TRUE,FALSE,Amelanchier sanguinea,species,A,Rosaceae,Amelanchier,sanguinea,,Amelanchier sanguinea
Amelanchier interior,TRUE,FALSE,Amelanchier interior,species,A,Rosaceae,Amelanchier,interior,,Amelanchier interior
Malus domestica,TRUE,FALSE,Malus domestica,species,A,Rosaceae,Malus,domestica,,Malus domestica
Amelanchier arborea,TRUE,FALSE,Amelanchier arborea,species,A,Rosaceae,Amelanchier,arborea,,Amelanchier arborea
Aronia melanocarpa,TRUE,FALSE,Aronia melanocarpa,species,A,Rosaceae,Aronia,melanocarpa,,Aronia melanocarpa
Spiraea tomentosa,TRUE,FALSE,Spiraea tomentosa,species,A,Rosaceae,Spiraea,tomentosa,,Spiraea tomentosa
Spiraea alba,TRUE,FALSE,Spiraea alba,species,A,Rosaceae,Spiraea,alba,,Spiraea alba
Elymus smithii,TRUE,FALSE,Elymus smithii,species,A,Poaceae,Elymus,smithii,,Elymus smithii
Parogonum ciliinode,TRUE,TRUE,Acacia subtessarogona,species,A,Fabaceae,Acacia,subtessarogona,Synonym,Acacia subtessarogona
Ceanothus americanus,TRUE,FALSE,Ceanothus americanus,species,A,Rhamnaceae,Ceanothus,americanus,,Ceanothus americanus
Parietaria pensylvanica,TRUE,FALSE,Parietaria pensylvanica,species,A,Urticaceae,Parietaria,pensylvanica,,Parietaria pensylvanica
Pilea pumila,TRUE,FALSE,Pilea pumila,species,A,Urticaceae,Pilea,pumila,,Pilea pumila
Urtica dioica,TRUE,FALSE,Urtica dioica,species,A,Urticaceae,Urtica,dioica,,Urtica dioica
Ulmus pumila,TRUE,FALSE,Ulmus pumila,species,A,Ulmaceae,Ulmus,pumila,,Ulmus pumila
Ulmus americana,TRUE,FALSE,Ulmus americana,species,A,Ulmaceae,Ulmus,americana,,Ulmus americana
Alnus incana,TRUE,FALSE,Alnus incana,species,A,Betulaceae,Alnus,incana,,Alnus incana
