sciname_NO_Phylogeny,Matched,Fuzzy,scientificName,taxonRank,majorGroup,family_WFO,genus_WFO,specificEpithet,Old.status,sciname_IN_WFO,tipLabel,IN_Phylogeny
Panicum perlongum,TRUE,FALSE,Dichanthelium linearifolium,species,A,Poaceae,Dichanthelium,linearifolium,Synonym,Dichanthelium linearifolium,Dichanthelium_linearifolium,0
Panicum sp.,TRUE,FALSE,Panicum,genus,A,Poaceae,Panicum,sp.,,Panicum sp.,Panicum_sp.,0
Parthenocissus inserta,TRUE,FALSE,Parthenocissus quinquefolia,species,A,Vitaceae,Parthenocissus,quinquefolia,Synonym,Parthenocissus quinquefolia,Parthenocissus_quinquefolia,0
Parthenocissus sp.,TRUE,FALSE,Parthenocissus,genus,A,Vitaceae,Parthenocissus,sp.,,Parthenocissus sp.,Parthenocissus_sp.,0
Pedicularis sp.,TRUE,FALSE,Pedicularis,genus,A,Orobanchaceae,Pedicularis,sp.,,Pedicularis sp.,Pedicularis_sp.,0
Penstemon grandiflorus,TRUE,FALSE,Penstemon grandiflorus,species,A,Plantaginaceae,Penstemon,grandiflorus,,Penstemon grandiflorus,Penstemon_grandiflorus,0
Penstemon sp.,TRUE,FALSE,Penstemon,genus,A,Plantaginaceae,Penstemon,sp.,,Penstemon sp.,Penstemon_sp.,0
Petalostemon candidus,TRUE,FALSE,Dalea candida,species,A,Fabaceae,Dalea,candida,Synonym,Dalea candida,Dalea_candida,0
Petalostemon purpureus,TRUE,FALSE,Dalea purpurea,species,A,Fabaceae,Dalea,purpurea,Synonym,Dalea purpurea,Dalea_purpurea,0
Petalostemum sp.,TRUE,FALSE,Petalostemum,genus,,,Petalostemum,sp.,,Petalostemum sp.,Petalostemum_sp.,0
Phlox sp.,TRUE,FALSE,Phlox,genus,A,Polemoniaceae,Phlox,sp.,,Phlox sp.,Phlox_sp.,0
Physalis sp.,TRUE,FALSE,Physalis,genus,A,Solanaceae,Physalis,sp.,,Physalis sp.,Physalis_sp.,0
Picea sp.,TRUE,FALSE,Picea,genus,G,Pinaceae,Picea,sp.,,Picea sp.,Picea_sp.,0
Pinus sp.,TRUE,FALSE,Pinus,genus,G,Pinaceae,Pinus,sp.,,Pinus sp.,Pinus_sp.,0
Plantago sp.,TRUE,FALSE,Plantago,genus,A,Plantaginaceae,Plantago,sp.,,Plantago sp.,Plantago_sp.,0
Poa sp.,TRUE,FALSE,Poa,genus,A,Poaceae,Poa,sp.,,Poa sp.,Poa_sp.,0
Polygala sp.,TRUE,FALSE,Polygala,genus,A,Polygalaceae,Polygala,sp.,,Polygala sp.,Polygala_sp.,0
Polygonatum sp.,TRUE,FALSE,Polygonatum,genus,A,Asparagaceae,Polygonatum,sp.,,Polygonatum sp.,Polygonatum_sp.,0
Fallopia cilinodis,TRUE,FALSE,Fallopia cilinodis,species,A,Polygonaceae,Fallopia,cilinodis,,Fallopia cilinodis,Fallopia_cilinodis,0
Polygonum sp.,TRUE,FALSE,Polygonum,genus,A,Polygonaceae,Polygonum,sp.,,Polygonum sp.,Polygonum_sp.,0
Potentilla arguta,TRUE,FALSE,Potentilla arguta,species,A,Rosaceae,Potentilla,arguta,,Potentilla arguta,Potentilla_arguta,0
Potentilla sp.,TRUE,FALSE,Potentilla,genus,A,Rosaceae,Potentilla,sp.,,Potentilla sp.,Potentilla_sp.,0
Prunus sp.,TRUE,FALSE,Prunus,genus,A,Rosaceae,Prunus,sp.,,Prunus sp.,Prunus_sp.,0
Pteridium aquilinum,TRUE,FALSE,Pteridium aquilinum,species,P,Dennstaedtiaceae,Pteridium,aquilinum,,Pteridium aquilinum,Pteridium_aquilinum,0
Pyrola sp.,TRUE,FALSE,Pyrola,genus,A,Ericaceae,Pyrola,sp.,,Pyrola sp.,Pyrola_sp.,0
