"","Species","NonGaps","removedPerGaps","removedMasking"
"Scirpus_cyperinus","Scirpus_cyperinus",656,FALSE,FALSE
"Eleocharis_geniculata","Eleocharis_geniculata",525,FALSE,FALSE
"Scleria_triglomerata","Scleria_triglomerata",565,FALSE,FALSE
"Scutellaria_lateriflora","Scutellaria_lateriflora",665,FALSE,FALSE
"Secale_cereale","Secale_cereale",685,FALSE,FALSE
"Packera_aurea","Packera_aurea",648,FALSE,FALSE
"Packera_paupercula","Packera_paupercula",662,FALSE,FALSE
"Setaria_italica","Setaria_italica",644,FALSE,FALSE
"Setaria_viridis","Setaria_viridis",679,FALSE,FALSE
"Silene_antirrhina","Silene_antirrhina",638,FALSE,FALSE
"Sisymbrium_altissimum","Sisymbrium_altissimum",593,FALSE,FALSE
"Maianthemum_racemosum","Maianthemum_racemosum",666,FALSE,FALSE
"Maianthemum_stellatum","Maianthemum_stellatum",705,FALSE,FALSE
"Smilax_herbacea","Smilax_herbacea",640,FALSE,FALSE
"Solanum_americanum","Solanum_americanum",639,FALSE,FALSE
"Solanum_carolinense","Solanum_carolinense",554,FALSE,FALSE
"Solanum_dulcamara","Solanum_dulcamara",704,FALSE,FALSE
"Solanum_nigrum","Solanum_nigrum",789,FALSE,FALSE
"Solidago_canadensis","Solidago_canadensis",660,FALSE,FALSE
"Solidago_juncea","Solidago_juncea",617,FALSE,FALSE
"Solidago_nemoralis","Solidago_nemoralis",676,FALSE,FALSE
"Solidago_rigida","Solidago_rigida",586,FALSE,FALSE
"Solidago_speciosa","Solidago_speciosa",652,FALSE,FALSE
"Sonchus_arvensis","Sonchus_arvensis",667,FALSE,FALSE
"Sorghastrum_nutans","Sorghastrum_nutans",482,FALSE,FALSE
"Spiraea_tomentosa","Spiraea_tomentosa",676,FALSE,FALSE
"Sporobolus_heterolepis","Sporobolus_heterolepis",731,FALSE,FALSE
"Stachys_palustris","Stachys_palustris",653,FALSE,FALSE
"Stachys_tenuifolia","Stachys_tenuifolia",616,FALSE,FALSE
"Stellaria_longifolia","Stellaria_longifolia",682,FALSE,FALSE
"Stellaria_media","Stellaria_media",672,FALSE,FALSE
"Elymus_smithii","Elymus_smithii",704,FALSE,FALSE
"Streptopus_lanceolatus","Streptopus_lanceolatus",705,FALSE,FALSE
"Symphoricarpos_occidentalis","Symphoricarpos_occidentalis",714,FALSE,FALSE
"Thalictrum_dasycarpum","Thalictrum_dasycarpum",688,FALSE,FALSE
"Thalictrum_dioicum","Thalictrum_dioicum",498,FALSE,FALSE
"Tradescantia_bracteata","Tradescantia_bracteata",681,FALSE,FALSE
"Tradescantia_occidentalis","Tradescantia_occidentalis",681,FALSE,FALSE
"Trifolium_arvense","Trifolium_arvense",654,FALSE,FALSE
"Trifolium_hybridum","Trifolium_hybridum",621,FALSE,FALSE
"Trifolium_pratense","Trifolium_pratense",692,FALSE,FALSE
"Trifolium_repens","Trifolium_repens",707,FALSE,FALSE
"Typha_angustifolia","Typha_angustifolia",697,FALSE,FALSE
"Typha_latifolia","Typha_latifolia",624,FALSE,FALSE
"Ulmus_americana","Ulmus_americana",715,FALSE,FALSE
"Ulmus_pumila","Ulmus_pumila",696,FALSE,FALSE
"Urtica_dioica","Urtica_dioica",669,FALSE,FALSE
"Uvularia_sessilifolia","Uvularia_sessilifolia",524,FALSE,FALSE
"Vaccinium_angustifolium","Vaccinium_angustifolium",689,FALSE,FALSE
"Vaccinium_myrtilloides","Vaccinium_myrtilloides",670,FALSE,FALSE
"Verbascum_thapsus","Verbascum_thapsus",669,FALSE,FALSE
"Verbena_hastata","Verbena_hastata",685,FALSE,FALSE
"Verbena_stricta","Verbena_stricta",770,FALSE,FALSE
"Viburnum_lentago","Viburnum_lentago",676,FALSE,FALSE
"Vicia_sativa","Vicia_sativa",698,FALSE,FALSE
"Vicia_villosa","Vicia_villosa",681,FALSE,FALSE
"Viola_macloskeyi","Viola_macloskeyi",770,FALSE,FALSE
"Viola_palustris","Viola_palustris",738,FALSE,FALSE
"Viola_pedata","Viola_pedata",645,FALSE,FALSE
"Viola_pedatifida","Viola_pedatifida",683,FALSE,FALSE
"Vitis_vulpina","Vitis_vulpina",707,FALSE,FALSE
"Zanthoxylum_americanum","Zanthoxylum_americanum",698,FALSE,FALSE
"Zizia_aptera","Zizia_aptera",706,FALSE,FALSE
