"","Species","NonGaps","removedPerGaps","removedMasking"
"Viola_pedata","Viola_pedata",552,FALSE,FALSE
"Viola_pedatifida","Viola_pedatifida",552,FALSE,FALSE
"Viola_selkirkii","Viola_selkirkii",516,FALSE,FALSE
"Zanthoxylum_americanum","Zanthoxylum_americanum",552,FALSE,FALSE
"Zizia_aptera","Zizia_aptera",549,FALSE,FALSE
"Zizia_aurea","Zizia_aurea",552,FALSE,FALSE
"Amelanchier_interior","Amelanchier_interior",552,FALSE,FALSE
"Artemisia_campestris","Artemisia_campestris",542,FALSE,FALSE
"Bouteloua_hirsuta","Bouteloua_hirsuta",549,FALSE,FALSE
"Cirsium_altissimum","Cirsium_altissimum",549,FALSE,FALSE
"Crocanthemum_bicknellii","Crocanthemum_bicknellii",512,FALSE,FALSE
"Dichanthelium_linearifolium","Dichanthelium_linearifolium",571,FALSE,FALSE
"Erigeron_philadelphicus","Erigeron_philadelphicus",549,FALSE,FALSE
"Euphorbia_maculata","Euphorbia_maculata",561,FALSE,FALSE
"Galium_concinnum","Galium_concinnum",523,FALSE,FALSE
"Galium_obtusum","Galium_obtusum",552,FALSE,FALSE
"Hackelia_virginiana","Hackelia_virginiana",537,FALSE,FALSE
"Melilotus_albus","Melilotus_albus",568,FALSE,FALSE
"Physalis_heterophylla","Physalis_heterophylla",553,FALSE,FALSE
"Plantago_patagonica","Plantago_patagonica",552,FALSE,FALSE
"Taraxacum_officinale","Taraxacum_officinale",553,FALSE,FALSE
"Tragopogon_dubius","Tragopogon_dubius",549,FALSE,FALSE
"Vitis_riparia","Vitis_riparia",553,FALSE,FALSE
