"","species_names","kingdom","phylum","class","order","family","genus","species","originalSpeciesName","atpB.fasta","matK.fasta","ndhF.fasta","rbcL.fasta","trnL.fasta"
"114","Corylus_americana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Betulaceae","Corylus","Corylus americana","Corylus_americana",0,1,0,1,1
"115","Crepis_tectorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Crepis","Crepis tectorum","Crepis_tectorum",0,1,0,1,1
"116","Cyperus_filiculmis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","Cyperus filiculmis","Cyperus_filiculmis",0,1,1,1,0
"117","Cyperus_schweinitzii","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","Cyperus schweinitzii","Cyperus_schweinitzii",0,1,0,1,0
"118","Cyperus_strigosus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Cyperus","Cyperus strigosus","Cyperus_strigosus",0,1,1,1,0
"119","Dalea_purpurea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalea","Dalea purpurea","Dalea_purpurea",0,0,0,1,0
"120","Dalea_villosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Dalea","Dalea villosa","Dalea_villosa",0,0,0,1,0
"121","Danthonia_spicata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Danthonia","Danthonia spicata","Danthonia_spicata",0,1,1,1,1
"122","Delphinium_carolinianum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Delphinium","Delphinium carolinianum","Delphinium_carolinianum",0,1,0,1,0
"123","Desmodium_canadense","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","Desmodium","Desmodium canadense","Desmodium_canadense",0,1,0,1,0
"124","Dichanthelium_acuminatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dichanthelium","Dichanthelium acuminatum","Dichanthelium_acuminatum",0,1,1,1,1
"125","Dichanthelium_oligosanthes","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Dichanthelium","Dichanthelium oligosanthes","Dichanthelium_oligosanthes",0,1,1,1,1
"126","Digitaria_cognata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria","Digitaria cognata","Digitaria_cognata",0,1,0,1,0
"127","Digitaria_ischaemum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria","Digitaria ischaemum","Digitaria_ischaemum",0,1,0,0,1
"128","Digitaria_sanguinalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Digitaria","Digitaria sanguinalis","Digitaria_sanguinalis",0,1,0,1,1
"129","Doellingeria_umbellata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Doellingeria","Doellingeria umbellata","Doellingeria_umbellata",0,1,0,1,1
"130","Drymocallis_arguta","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Drymocallis","Drymocallis arguta","Drymocallis_arguta",0,1,0,1,0
"131","Dulichium_arundinaceum","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Dulichium","Dulichium arundinaceum","Dulichium_arundinaceum",0,0,1,1,1
"132","Dysphania_atriplicifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Dysphania","Dysphania atriplicifolia","Cycloloma_atriplicifolium",0,1,1,1,0
"133","Echinacea_purpurea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Echinacea","Echinacea purpurea","Echinacea_purpurea",0,0,1,0,0
"134","Eleocharis_geniculata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","Eleocharis","Eleocharis geniculata","Eleocharis_geniculata",0,1,1,1,0
"135","Elymus_canadensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","Elymus","Elymus canadensis","Elymus_canadensis",0,1,0,1,0
