"","MRCA","MaxAge","MinAge","taxonA","taxonB"
"356","0bf85968696c32da03b87c6e17358d8c",25.9943870000001,25.9943870000001,"Lithospermum_carolinense","Hackelia_virginiana"
"358","5626d14bdee3ba39d55c3a8b7c02756f",1.16279700000018,1.16279700000018,"Lithospermum_canescens","Lithospermum_caroliniense"
"359","5a3b9049adab525b6acf054190d6acd8",4.8515910000001,4.8515910000001,"Hackelia_virginiana","Hackelia_deflexa"
"361","e7f3486b405f2c18ca949c59a29ee13a",60.1881680000002,60.1881680000002,"Cicuta_bulbifera","Aralia_nudicaulis"
"362","0ebb4d00ea18933664fef8eafb99e861",23.6041830000001,23.6041830000001,"Cicuta_bulbifera","Zizia_aptera"
"363","59fde8202a0265dda39ba8a84bdf57ed",0.925742000000184,0.925742000000184,"Zizia_aptera","Zizia_aurea"
"365","a364f3b08d26029452fdbd13966ff627",70.9379670000001,70.9379670000001,"Viburnum_lentago","Lonicera_dioica"
"366","c6ccaf13195f550a2248c4c537aecc0c",24.3762850000001,24.3762850000001,"Lonicera_dioica","Symphoricarpos_occidentalis"
"367","6b8892e8edb125a33d76c0ffd67680a8",19.4782250000001,19.4782250000001,"Lonicera_dioica","Lonicera_morrowii"
"370","e3740d09d00edd840bcf2a15a5750777",45.5900720000001,45.5900720000001,"Lobelia_spicata","Campanula_rotundifolia"
"373","f733048fc9699421e9d57b76daa8bb1b",22.9894620000001,22.9894620000001,"Bidens_tripartita","Erechtites_hieraciifolius"
"374","21b2119bac858ae50aaa97887ac824e5",18.1580100000002,18.1580100000002,"Bidens_tripartita","Helenium_autumnale"
"375","60f13ef4c60b65afa019fc0cbec9d7c2",5.02632600000004,5.02632600000004,"Bidens_tripartita","Coreopsis_palmata"
"376","15f9ea8f44069e51abc2baf6f55a41e8",0.418488000000082,0.418488000000082,"Bidens_tripartita","Bidens_trichosperma"
"379","26ff877bb670c6ef576e5352f442e263",17.6953490000001,17.6953490000001,"Helenium_autumnale","Eutrochium_maculatum"
"382","85baf441abf2791a189edbe6ac578ee3",4.34785200000016,4.34785200000016,"Eupatorium_perfoliatum","Liatris_ligulistylis"
"383","0ba2cd97061b61f6bd008a596ac40388",0.0319750000001591,0.0319750000001591,"Liatris_ligulistylis","Liatris_aspera"
"387","8c232bb7a8bc04cd26832af29552b2a2",8.94721700000014,8.94721700000014,"Echinacea_purpurea","Helianthus_hirsutus"
"390","b961e83ee8a4284b1f0edd04aac0ceb3",0.230633000000182,0.230633000000182,"Ambrosia_artemisiifolia","Ambrosia_psilostachya"
"391","efcfb7616c5d4ccf5e4b78dfca2de602",1.52850100000018,1.52850100000018,"Helianthus_hirsutus","Helianthus_giganteus"
"394","9523bbcdc66beeed5d82a77130773203",6.32827500000019,6.32827500000019,"Erechtites_hieraciifolius","Packera_aurea"
"395","ae7bb6d981342974dcc8e9a397078406",0.115683000000217,0.115683000000217,"Packera_aurea","Packera_paupercula"
"397","efe45f516b1a4ea966c0a70633fdf8e3",4.59681100000012,4.59681100000012,"Heterotheca_villosa","Doellingeria_umbellata"
"398","07e7d82dead10be4509662285ffb153f",4.29274000000009,4.29274000000009,"Heterotheca_villosa","Symphyotrichum_oolentangiense"
"401","91cb69c61138343edad904ace146b237",2.16465100000011,2.16465100000011,"Erigeron_philadelphicus","Erigeron_canadensis"
"402","ee12844341f47c3755585c8559d41a3c",0.90606600000018,0.90606600000018,"Erigeron_philadelphicus","Erigeron_strigosus"
"403","08ec7b8141add3ff271cc44737da3fa4",0.408420000000262,0.408420000000262,"Erigeron_strigosus","Erigeron_annuus"
"411","83654b903290a7b8780aaf9bed0e5cfd",0.301858000000095,0.301858000000095,"Solidago_rigida","Solidago_canadensis"
"420","119b0bbd46dc3ec9cf0de3a5ff3474be",5.72049100000015,5.72049100000015,"Achillea_millefolium","Artemisia_ludoviciana"
"421","fe3ce07c0dec521859cca352b7c4b160",1.82616100000013,1.82616100000013,"Artemisia_ludoviciana","Artemisia_campestris"
"422","5c73de38e892e6f4cc12824824bb017d",4.9976850000001,4.9976850000001,"Gnaphalium_uliginosum","Antennaria_plantaginifolia"
