"MRCA","MaxAge","MinAge","taxonA","taxonB","bootstrap"
"9cff25fee6b05e441c9b9dbdc8702096",0.957828000400013,0.957828000400013,"Hieracium_longipilum","Hieracium_umbellatum",1
"b4d9e2e254554dda08c431057f7b740c",3.6021070004,3.6021070004,"Lactuca_serriola","Lactuca_biennis",1
"550b6b1b7f083fae8249b9bead540522",0.915920000399979,0.915920000399979,"Lactuca_biennis","Lactuca_canadensis",1
"fa7639d7f0d4e4815d5ff806fbb5e114",46.1435160004,46.1435160004,"Pyrola_rotundifolia","Vaccinium_myrtilloides",1
"3c97c5d35702c8759893486cea90d094",0.75109800040002,0.75109800040002,"Phlox_paniculata","Phlox_pilosa",1
"c1c25920d2a3a119386026307bf27cd8",27.3989620004,27.3989620004,"Lysimachia_ciliata","Lysimachia_thyrsiflora",1
"8e365bed19a44e8085ffcc53d770bbc2",4.80367500040001,4.80367500040001,"Fallopia_convolvulus","Fallopia_scandens",1
"9689103479c639175f0c9ca81acd2538",325.0500280004,325.0500280004,"Larix_laricina","Ginkgo_biloba",2
"036bfba735f31d4adb6f4c20d71065d8",126.8227580004,126.8227580004,"Larix_laricina","Juniperus_virginiana",2
"f37767d6e765e490162e3753b8668f3d",38.7975790004,38.7975790004,"Larix_laricina","Pinus_resinosa",2
"d5e187d7edb05ecb4ce69297d72d59f4",20.8588660004,20.8588660004,"Pinus_resinosa","Pinus_strobus",2
"97062b0c4b91424a49c53a4f7f56e82c",10.8903980004,10.8903980004,"Pinus_resinosa","Pinus_banksiana",2
"e2abe6adcc1541cff7fe7b23202e2b05",5.03648000039999,5.03648000039999,"Juniperus_virginiana","Juniperus_communis",2
"349860b4c4de6f82057e799247c2ca24",135.7580650004,135.7580650004,"Caltha_palustris","Comandra_umbellata",2
"16b6d37d3350933fb55da358784b3969",42.5507180004,42.5507180004,"Caltha_palustris","Anemone_virginiana",2
"96e3f8b245f15d8bdf3d730bcf542fcc",6.36107200039999,6.36107200039999,"Anemone_virginiana","Anemone_quinquefolia",2
"eddb520abe9749798d9a8858b765cc0b",19.0582460004,19.0582460004,"Aquilegia_canadensis","Thalictrum_dasycarpum",2
"c0c96fc9e558ccdee8a4b050e7902261",4.58059500040002,4.58059500040002,"Thalictrum_dasycarpum","Thalictrum_dioicum",2
"3eb0af38cd35e048f6fe0feae2b23178",1.08321800040005,1.08321800040005,"Chenopodium_album","Chenopodium_leptophyllum",2
"dffa080137a9251821a8a420b4c8cc1d",50.8198320004,50.8198320004,"Silene_latifolia","Moehringia_lateriflora",2
"01c12e703723da03e99f2ea8c7bdb7e5",82.9554390004,82.9554390004,"Mirabilis_nyctaginea","Portulaca_oleracea",2
"568cf94824dc8b47ae66f2dc3fa52cc2",73.1087880004,73.1087880004,"Portulaca_oleracea","Mollugo_verticillata",2
"1d6583b7dd2ab757326569cb5f64f104",67.7278630004,67.7278630004,"Apocynum_cannabinum","Houstonia_longifolia",2
"2fcf7b95c3d511367d564fbcb0060186",21.8944590004,21.8944590004,"Apocynum_cannabinum","Asclepias_verticillata",2
"7ca3537fd0acd95902ea3ac421980d75",5.59383000040003,5.59383000040003,"Apocynum_cannabinum","Apocynum_androsaemifolium",2
"fc5fe16a9b24cf4f8c7cf3f0f77f8dcb",3.00268100040006,3.00268100040006,"Asclepias_verticillata","Asclepias_tuberosa",2
"00d37219420701c5b9f4ce17ddaae2bd",22.1378520004,22.1378520004,"Houstonia_longifolia","Galium_boreale",2
"bd4f6135e73ad833776c6374154d05da",6.40221100040003,6.40221100040003,"Galium_boreale","Galium_aparine",2
"8a824081522353c48fbdd0d9324b141d",66.6498250004,66.6498250004,"Convolvulus_arvensis","Solanum_nigrum",2
"8ec5543947b733719aa149b1dcc10e4b",18.3964570004001,18.3964570004001,"Solanum_nigrum","Physalis_pubescens",2
"18d55b8965e47f42c1468b728718316d",12.5141370004001,12.5141370004001,"Solanum_nigrum","Solanum_dulcamara",2
"30c8843b925ebaa86ad07c6ebc80a621",4.97110500040009,4.97110500040009,"Physalis_pubescens","Physalis_heterophylla",2
"e6787599c378668b86a70840b1496a79",71.0206090004,71.0206090004,"Fraxinus_nigra","Penstemon_digitalis",2
"249def0a2a4e8060a6a96d85421c5153",8.0453710004,8.0453710004,"Fraxinus_nigra","Fraxinus_pennsylvanica",2
