spec.name.ORIG,Matched,Fuzzy,scientificName,taxonRank,family,genus,specificEpithet,Old.status,spec.name.new
Crepis tectorum,TRUE,FALSE,Crepis tectorum,species,Asteraceae,Crepis,tectorum,,Crepis tectorum
Cryptogams,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Cycloloma atriplicifolium,TRUE,FALSE,Cycloloma atriplicifolium,species,Amaranthaceae,Cycloloma,atriplicifolium,,Cycloloma atriplicifolium
Cyperus filiculmis,TRUE,FALSE,Cyperus filiculmis,species,Cyperaceae,Cyperus,filiculmis,,Cyperus filiculmis
Cyperus schweinitzii,TRUE,FALSE,Cyperus schweinitzii,species,Cyperaceae,Cyperus,schweinitzii,,Cyperus schweinitzii
Cyperus sp.,TRUE,FALSE,Cyperus,genus,Cyperaceae,Cyperus,sp.,,Cyperus sp.
Cyperus strigosus,TRUE,FALSE,Cyperus strigosus,species,Cyperaceae,Cyperus,strigosus,,Cyperus strigosus
Danthonia spicata,TRUE,FALSE,Danthonia spicata,species,Poaceae,Danthonia,spicata,,Danthonia spicata
Delphinium virescens,TRUE,FALSE,Delphinium carolinianum  subsp. virescens,subspecies,Ranunculaceae,Delphinium,carolinianum,Synonym,Delphinium carolinianum
Desmodium canadense,TRUE,FALSE,Desmodium canadense,species,Fabaceae,Desmodium,canadense,,Desmodium canadense
Desmodium glutinosum,TRUE,FALSE,Hylodesmum glutinosum,species,Fabaceae,Hylodesmum,glutinosum,Synonym,Hylodesmum glutinosum
Digitaria ischaemum,TRUE,FALSE,Digitaria ischaemum,species,Poaceae,Digitaria,ischaemum,,Digitaria ischaemum
Digitaria sanguinalis,TRUE,FALSE,Digitaria sanguinalis,species,Poaceae,Digitaria,sanguinalis,,Digitaria sanguinalis
Digitaria sp.,TRUE,FALSE,Digitaria,genus,Poaceae,Digitaria,sp.,,Digitaria sp.
Disturbance,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Dryopteris cristata,TRUE,FALSE,Dryopteris cristata,species,Dryopteridaceae,Dryopteris,cristata,,Dryopteris cristata
Dryopteris spinulosa,TRUE,FALSE,Dryopteris carthusiana,species,Dryopteridaceae,Dryopteris,carthusiana,Synonym,Dryopteris carthusiana
Dulichium arundinaceum,TRUE,FALSE,Dulichium arundinaceum,species,Cyperaceae,Dulichium,arundinaceum,,Dulichium arundinaceum
Echinacea purpurea,TRUE,FALSE,Echinacea purpurea,species,Asteraceae,Echinacea,purpurea,,Echinacea purpurea
Eleocharis sp.,TRUE,FALSE,Eleocharis,genus,Cyperaceae,Eleocharis,sp.,,Eleocharis sp.
Elymus canadensis,TRUE,FALSE,Elymus canadensis,species,Poaceae,Elymus,canadensis,,Elymus canadensis
Elymus trachycaulus,TRUE,FALSE,Elymus trachycaulus,species,Poaceae,Elymus,trachycaulus,,Elymus trachycaulus
Epilobium angustifolium,TRUE,FALSE,Epilobium angustifolium,species,Onagraceae,Epilobium,angustifolium,,Epilobium angustifolium
Epilobium ciliatum,TRUE,FALSE,Epilobium ciliatum,species,Onagraceae,Epilobium,ciliatum,,Epilobium ciliatum
Epilobium glandulosum,TRUE,FALSE,Epilobium glandulosum,species,Onagraceae,Epilobium,glandulosum,,Epilobium glandulosum
Epilobium leptophyllum,TRUE,FALSE,Epilobium leptophyllum,species,Onagraceae,Epilobium,leptophyllum,,Epilobium leptophyllum
Epilobium sp.,TRUE,FALSE,Epilobium,genus,Onagraceae,Epilobium,sp.,,Epilobium sp.
Equisetum arvense,TRUE,FALSE,Equisetum arvense,species,Equisetaceae,Equisetum,arvense,,Equisetum arvense
Equisetum hyemale,TRUE,FALSE,Equisetum hyemale,species,Equisetaceae,Equisetum,hyemale,,Equisetum hyemale
Equisetum laevigatum,TRUE,FALSE,Equisetum laevigatum,species,Equisetaceae,Equisetum,laevigatum,,Equisetum laevigatum
Equisetum sp.,TRUE,FALSE,Equisetum,genus,Equisetaceae,Equisetum,sp.,,Equisetum sp.
Eragrostis spectabilis,TRUE,FALSE,Eragrostis spectabilis,species,Poaceae,Eragrostis,spectabilis,,Eragrostis spectabilis
Eragrostis trichodes,TRUE,FALSE,Eragrostis trichodes,species,Poaceae,Eragrostis,trichodes,,Eragrostis trichodes
Erechtites hieracifolia,TRUE,FALSE,Erechtites hieracifolia,species,Asteraceae,Erechtites,hieracifolia,,Erechtites hieracifolia
Erigeron anuus,TRUE,TRUE,Erigeron annuus,species,Asteraceae,Erigeron,annuus,,Erigeron annuus
Erigeron canadensis,TRUE,FALSE,Erigeron canadensis,species,Asteraceae,Erigeron,canadensis,,Erigeron canadensis
Erigeron sp.,TRUE,FALSE,Erigeron,genus,Asteraceae,Erigeron,sp.,,Erigeron sp.
Erigeron strigosus,TRUE,FALSE,Erigeron strigosus,species,Asteraceae,Erigeron,strigosus,,Erigeron strigosus
Eupatorium maculatum,TRUE,FALSE,Eutrochium maculatum,species,Asteraceae,Eutrochium,maculatum,Synonym,Eutrochium maculatum
Eupatorium perfoliatum,TRUE,FALSE,Eupatorium perfoliatum,species,Asteraceae,Eupatorium,perfoliatum,,Eupatorium perfoliatum
Eupatorium rugosum,TRUE,FALSE,Ageratina liebmannii,species,Asteraceae,Ageratina,liebmannii,Synonym,Ageratina liebmannii
Euphorbia (supina) maculata,TRUE,FALSE,Euphorbia,genus,Euphorbiaceae,Euphorbia,sp.,,Euphorbia sp.
Euphorbia corollata,TRUE,FALSE,Euphorbia corollata,species,Euphorbiaceae,Euphorbia,corollata,,Euphorbia corollata
Euphorbia geyeri,TRUE,FALSE,Euphorbia geyeri,species,Euphorbiaceae,Euphorbia,geyeri,,Euphorbia geyeri
Euphorbia glyptosperma,TRUE,FALSE,Euphorbia glyptosperma,species,Euphorbiaceae,Euphorbia,glyptosperma,,Euphorbia glyptosperma
Euphorbia sp.,TRUE,FALSE,Euphorbia,genus,Euphorbiaceae,Euphorbia,sp.,,Euphorbia sp.
Euthamia graminifolia,TRUE,FALSE,Euthamia graminifolia,species,Asteraceae,Euthamia,graminifolia,,Euthamia graminifolia
Festuca ovina,TRUE,FALSE,Festuca ovina,species,Poaceae,Festuca,ovina,,Festuca ovina
Festuca rubra,TRUE,FALSE,Festuca rubra,species,Poaceae,Festuca,rubra,,Festuca rubra
Festuca sp.,TRUE,FALSE,Festuca,genus,Poaceae,Festuca,sp.,,Festuca sp.
Forb seedlings,TRUE,TRUE,Fordia,genus,Fabaceae,Fordia,sp.,,Fordia sp.
Forbs,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Fragaria sp.,TRUE,FALSE,Fragaria,genus,Rosaceae,Fragaria,sp.,,Fragaria sp.
Fragaria vesca (americana),TRUE,FALSE,Fragaria vesca,species,Rosaceae,Fragaria,vesca,,Fragaria vesca
Fragaria virginiana,TRUE,FALSE,Fragaria virginiana,species,Rosaceae,Fragaria,virginiana,,Fragaria virginiana
Fraxinus americana,TRUE,FALSE,Fraxinus americana,species,Oleaceae,Fraxinus,americana,,Fraxinus americana
Fraxinus nigra,TRUE,FALSE,Fraxinus nigra,species,Oleaceae,Fraxinus,nigra,,Fraxinus nigra
Fraxinus pennsylvanica,TRUE,FALSE,Fraxinus pennsylvanica,species,Oleaceae,Fraxinus,pennsylvanica,,Fraxinus pennsylvanica
Fruits & seeds,TRUE,TRUE,Seemannia sylvatica,species,Gesneriaceae,Seemannia,sylvatica,Synonym,Seemannia sylvatica
Fungi,FALSE,FALSE,NA,NA,NA,NA,NA,,NA NA
Galium aparine,TRUE,FALSE,Galium aparine,species,Rubiaceae,Galium,aparine,,Galium aparine
Galium boreale,TRUE,FALSE,Galium boreale,species,Rubiaceae,Galium,boreale,,Galium boreale
