majorGroup,class,order,family_WFO,genus_PHY,species
A,Liliopsida,Poales,Poaceae,Elymus,Elymus canadensis
A,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium
A,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium ciliatum
A,Magnoliopsida,Myrtales,Onagraceae,Epilobium,Epilobium leptophyllum
A,Liliopsida,Poales,Poaceae,Eragrostis,Eragrostis spectabilis
A,Magnoliopsida,Asterales,Asteraceae,Erechtites,Erechtites hieraciifolius
A,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron annuus
A,Magnoliopsida,Asterales,Asteraceae,Erigeron,Erigeron strigosus
A,Magnoliopsida,Asterales,Asteraceae,Eutrochium,Eutrochium maculatum
A,Magnoliopsida,Asterales,Asteraceae,Eupatorium,Eupatorium perfoliatum
A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia corollata
A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia geyeri
A,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia glyptosperma
A,Magnoliopsida,Asterales,Asteraceae,Euthamia,Euthamia graminifolia
A,Liliopsida,Poales,Poaceae,Festuca,Festuca ovina
A,Liliopsida,Poales,Poaceae,Festuca,Festuca guestfalica
A,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria vesca
A,Magnoliopsida,Rosales,Rosaceae,Fragaria,Fragaria virginiana
A,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus americana
A,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus nigra
A,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica
A,Magnoliopsida,Lamiales,Gesneriaceae,Seemannia,Seemannia sylvatica
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium boreale
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium trifidum
A,Magnoliopsida,Gentianales,Rubiaceae,Galium,Galium triflorum
A,Magnoliopsida,Geraniales,Geraniaceae,Geranium,Geranium maculatum
A,Magnoliopsida,Lamiales,Lamiaceae,Glechoma,Glechoma hederacea
A,Liliopsida,Poales,Poaceae,Glyceria,Glyceria grandis
A,Magnoliopsida,Asterales,Asteraceae,Gamochaeta,Gamochaeta purpurea
A,Magnoliopsida,Asterales,Asteraceae,Gnaphalium,Gnaphalium uliginosum
A,Magnoliopsida,Asterales,Asteraceae,Helenium,Helenium autumnale
A,Magnoliopsida,Asterales,Asteraceae,Helianthus,Helianthus hirsutus
A,Magnoliopsida,Saxifragales,Saxifragaceae,Heuchera,Heuchera richardsonii
A,Magnoliopsida,Asterales,Asteraceae,Pilosella,Pilosella aurantiaca
A,Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium umbellatum
A,Magnoliopsida,Asterales,Asteraceae,Hieracium,Hieracium longipilum
A,Liliopsida,Poales,Poaceae,Anthoxanthum,Anthoxanthum nitens
