class,order,family,genus,species
Magnoliopsida,Lamiales,Lamiaceae,Lycopus,Lycopus americanus
Magnoliopsida,Lamiales,Lamiaceae,Lycopus,Lycopus uniflorus
Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia ciliata
Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia thyrsiflora
Liliopsida,Asparagales,Asparagaceae,Maianthemum,Maianthemum canadense
Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago lupulina
Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago sativa
Magnoliopsida,Fabales,Fabaceae,Melilotus,Melilotus officinalis
Magnoliopsida,Lamiales,Phrymaceae,Mimulus,Mimulus ringens
Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis albida
Magnoliopsida,Caryophyllales,Nyctaginaceae,Mirabilis,Mirabilis nyctaginea
Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus giganteus
Magnoliopsida,Caryophyllales,Molluginaceae,Mollugo,Mollugo verticillata
Magnoliopsida,Lamiales,Lamiaceae,Monarda,Monarda fistulosa
Magnoliopsida,Lamiales,Lamiaceae,Monarda,Monarda punctata
Magnoliopsida,Lamiales,Lamiaceae,Mosla,Mosla dianthera
Liliopsida,Poales,Poaceae,Muhlenbergia,Muhlenbergia racemosa
Liliopsida,Poales,Cyperaceae,Carex,Carex lativena
Magnoliopsida,Lamiales,Lamiaceae,Nepeta,Nepeta cataria
Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera biennis
Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera parviflora
Magnoliopsida,Myrtales,Onagraceae,Oenothera,Oenothera rhombipetala
Magnoliopsida,Oxalidales,Oxalidaceae,Oxalis,Oxalis stricta
Liliopsida,Poales,Poaceae,Panicum,Panicum capillare
Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium acuminatum
Liliopsida,Poales,Poaceae,Panicum,Panicum leibergii
Liliopsida,Poales,Poaceae,Panicum,Panicum miliaceum
Liliopsida,Poales,Poaceae,Dichanthelium,Dichanthelium oligosanthes
Liliopsida,Poales,Poaceae,Panicum,Panicum perlongum
Liliopsida,Poales,Poaceae,Panicum,Panicum virgatum
