taxon,birth,death,ccp,source
Sonchus,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Symphyotrichum,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (not monophyletic)
Taraxacum,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (unsampled)
Tragopogon,0.04151157206109838,0.031827184492837106,0.0,from Asteraceae (unsampled)
Vernonia,0.04151157206109838,0.031827184492837106,0,from Asteraceae (singleton)
Balsaminaceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Impatiens,0.04151157206109838,0.031827184492837106,0,from Balsaminaceae (singleton)
Betulaceae,0.028525952133601474,0.0,1.0,computed
Alnus,0.028525952133601474,0.0,0,from Betulaceae (singleton)
Betula,0.03821163968278843,0.0,1.0,computed
Corylus,0.028525952133601474,0.0,0,from Betulaceae (singleton)
Boraginaceae,0.04683972207845392,0.04683963445271014,1.0,computed
Hackelia,0.04683972207845392,0.04683963445271014,0,from Boraginaceae (singleton)
Lithospermum,0.05766334531200611,0.057662874276767286,1.0,computed
Brassicaceae,0.021688402887532356,0.0,1.0,computed
Arabis,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Barbarea,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Berteroa,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Boechera,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Capsella,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Lepidium,0.021688402887532356,0.0,1.0,from Brassicaceae (cherry)
Sisymbrium,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Turritis,0.021688402887532356,0.0,0,from Brassicaceae (singleton)
Campanulaceae,0.014044568223570641,0.014044528222546437,1.0,computed
Campanula,0.014044568223570641,0.014044528222546437,1.0,from Campanulaceae (cherry)
Lobelia,0.014044568223570641,0.014044528222546437,1.0,from Campanulaceae (cherry)
Caprifoliaceae,0.03957625073363839,0.03957517274207285,1.0,computed
Lonicera,0.034307024997806475,0.03430701090447643,1.0,computed
Symphoricarpos,0.03957625073363839,0.03957517274207285,0,from Caprifoliaceae (singleton)
Caryophyllaceae,0.008008325410417648,0.0,0.9,computed
Moehringia,0.008008325410417648,0.0,0,from Caryophyllaceae (singleton)
Silene,0.008008325410417648,0.0,0.0,from Caryophyllaceae (cherry)
Stellaria,0.008008325410417648,0.0,0.0,from Caryophyllaceae (not monophyletic)
Celastraceae,0.04151157206109838,0.031827184492837106,0,from __TAXONOMIC_ROOT__ (singleton)
Celastrus,0.04151157206109838,0.031827184492837106,0,from Celastraceae (singleton)
Cistaceae,0.04151157206109838,0.031827184492837106,0.0,from __TAXONOMIC_ROOT__ (cherry)
Helianthemum,0.04151157206109838,0.031827184492837106,0.0,from Cistaceae (unsampled)
Lechea,0.04151157206109838,0.031827184492837106,0,from Cistaceae (singleton)
